slug,titulo,ano,tipo,qualidade,generos,download,meta_chars,title_chars
o-despertar-de-um-assassino,O Despertar De Um Assassino,2017,Filme,1080p,3,True,123,70
tempestade-na-vila-sesamo,Tempestade na Vila Sésamo,2026,Filme,1080p,2,True,121,68
volta-pra-mim,Volta Pra Mim,2022,Filme,1080p,2,True,109,56
jared-leto-hollywood-s-dark-secret,Jared Leto: Hollywood's Dark Secret,2026,Filme,1080p,1,True,131,78
authentic-games-no-imperio-desconectado,Authentic Games: No Império Desconectado,2026,Filme,1080p,4,True,136,83
lucky-strike,Lucky Strike,2026,Filme,1080p,2,True,108,55
uma-carta-de-natal,Uma Carta de Natal,2024,Filme,1080p,2,True,114,61
trustor-por-dentro-do-escandalo-financeiro,Trustor: Por Dentro do Escândalo Financeiro,2026,Filme,1080p,2,True,139,86
monstro-a-historia-de-lizzie-borden-1a-temporada,Monstro: A História de Lizzie Borden 1ª Temporada,2026,Série,1080p,1,False,145,92
o-atentado-ao-voo-pan-am-103-1a-temporada,O Atentado ao Voo Pan Am 103 1ª Temporada,2026,Série,1080p,0,True,137,84
star-wars-visions-apresenta-a-nona-jedi-1a-temporada,Star Wars: Visions Apresenta — A Nona Jedi 1ª Temporada,2026,Série,1080p,0,True,151,98
missao-majnu,Missão Majnu,2023,Filme,1080p,4,True,108,55
frango-a-conspiracao-do-fast-food,Frango: A Conspiração do Fast-Food,2026,Filme,1080p,1,True,130,77
marvel-rising-brincando-com-fogo,Marvel Rising: Brincando com Fogo,2019,Filme,1080p,4,True,129,76
marvel-rising-batalha-de-bandas,Marvel Rising: Batalha de Bandas,2019,Filme,1080p,4,True,128,75
capps-crossing-wrong-side-of-dead,Capps Crossing: Wrong Side of Dead,2026,Filme,1080p,2,True,130,77
dahmer,Dahmer,2002,Filme,1080p,4,True,102,49
fly-me-away,Fly Me Away,2021,Filme,1080p,2,True,107,54
uma-casa-na-pradaria-1a-temporada,Uma Casa na Pradaria 1ª Temporada,2026,Série,1080p,0,True,129,76
evolution,Evolution,2026,Filme,1080p,3,True,105,52
dahmer-um-canibal-americano-1a-temporada,Dahmer: Um Canibal Americano 1ª Temporada,2022,Série,1080p,0,True,137,84
monstro-a-historia-de-ed-gein-1a-temporada,Monstro: A História de Ed Gein 1ª Temporada,2025,Série,1080p,0,True,139,86
a-casa-do-dragao-3a-temporada,A Casa do Dragão 3ª Temporada,2026,Série,1080p,0,True,125,72
soulm8te,Soulm8te,2026,Filme,1080p,3,True,104,51
a-ultima-cena,A Última Cena,2023,Filme,1080p,2,True,109,56
projeto-caca-ao-lobo,Projeto Caça ao Lobo,2022,Filme,1080p,3,True,116,63
os-westies-donos-do-oeste-1a-temporada,Os Westies: Donos do Oeste 1ª Temporada,2026,Série,1080p,0,True,135,82
i-want-your-sex,I Want Your Sex,2026,Filme,1080p,2,True,111,58
tempo-de-despertar,Tempo de Despertar,1990,Filme,1080p,1,True,114,61
flamingos-a-vida-depois-do-meteorito,Flamingos: A Vida Depois do Meteorito,2026,Filme,1080p,1,True,133,80
batman-cruzado-encapuzado-2a-temporada,Batman: Cruzado Encapuzado 2ª Temporada,2026,Série,1080p,0,True,135,82
that-time-i-got-reincarnated-as-a-slime-o-filme-lagrimas-do-mar-azul-celeste,That Time I Got Reincarnated as a Slime o Filme: Lágrimas do mar azul-celeste,2026,Filme,1080p,3,True,158,120
um-grande-despertar,‎Um Grande Despertar,2026,Filme,1080p,2,True,116,63
gayong-2,Gayong 2,2026,Filme,1080p,2,True,104,51
shake-rattle-roll-evil-origins,"Shake, Rattle & Roll Evil Origins",2026,Filme,1080p,1,True,129,76
hit-para-dois,Hit Para Dois,2026,Filme,1080p,3,True,109,56
projeto-final-1a-temporada,Projeto Final 1ª Temporada,2026,Série,1080p,0,True,122,69
aparencias,Aparências,2020,Filme,1080p,3,True,106,53
snoopy-apresenta-nao-ha-nada-como-a-nossa-casa-snoopy,"Snoopy Apresenta - Não Há Nada Como a Nossa Casa, Snoopy",2026,Filme,1080p,2,True,152,99
pesadelo-no-artico,Pesadelo no Ártico,1993,Filme,1080p,1,True,114,61
40-encontros-e-40-noites,40 Encontros e 40 Noites,2026,Filme,1080p,2,True,120,67
ultima-parada,Última Parada,2026,Filme,1080p,1,True,109,56
cabo-do-medo-1a-temporada,Cabo do Medo 1ª Temporada,2026,Série,1080p,0,True,121,68
terra-de-desafios,Terra de Desafios,2005,Filme,1080p,2,True,113,60
cinco-tipos-de-medo,Cinco Tipos de Medo,2026,Filme,1080p,4,True,115,62
baki-dou-o-samurai-invencivel-1a-temporada,BAKI-DOU: O Samurai Invencível 1ª Temporada,2026,Série,1080p,0,True,139,86
destruicao-iminente,Destruição Iminente,2024,Filme,1080p,3,True,115,62
annie-e-os-bandidos,Annie e os Bandidos,1981,Filme,1080p,1,True,115,62
demon-slayer-kimetsu-no-yaiba-castelo-infinito,Demon Slayer: Kimetsu no Yaiba - Castelo Infinito,2025,Filme,1080p,3,True,145,92
o-diabo-veste-prada,O Diabo Veste Prada,2006,Filme,1080p,2,True,115,62
a-boca-do-diabo,A Boca do Diabo,2026,Filme,1080p,2,True,111,58
a-casa-do-dragao-3a-temporada-2,A Casa do Dragão 3ª Temporada,2026,Série,1080p,0,True,125,72
o-diabo-veste-prada-2,O Diabo Veste Prada 2,2026,Filme,1080p,2,True,117,64
a-procura-da-felicidade,À Procura da Felicidade,2006,Filme,1080p,1,True,119,66
zona-zero,Zona Zero,2026,Filme,1080p,3,True,105,52
furia-wrath-1a-temporada,Fúria (Wrath) 1ª Temporada,2026,Série,1080p,0,True,122,69
inverno-campo-de-batalha,Inverno: Campo de Batalha,2026,Filme,1080p,4,True,121,68
apanhador-de-almas,Apanhador de Almas,2025,Filme,1080p,3,True,114,61
supergirl,Supergirl,2026,Filme,1080p,3,True,105,52
rick-e-morty-9a-temporada,Rick e Morty 9ª Temporada,2026,Série,1080p,0,True,121,68
reacher-3a-temporada,Reacher 3ª Temporada,2025,Série,1080p,0,True,116,63
do-outro-lado-do-pavilhao,Do Outro Lado do Pavilhão,2025,Filme,1080p,1,True,121,68
o-fim-de-semana,O Fim de Semana,2019,Filme,1080p,3,True,111,58
reacher-1a-temporada,Reacher 1ª Temporada,2022,Série,1080p,0,True,116,63
psycho-killer-em-busca-do-assassino,Psycho Killer: Em Busca do Assassino,2026,Filme,1080p,3,True,132,79
leviticus,Leviticus,2026,Filme,1080p,1,True,105,52
dentes-de-leite,Dentes de Leite,2024,Filme,1080p,2,True,111,58
savage-house,Savage House,2026,Filme,1080p,2,True,108,55
reacher-2a-temporada,Reacher 2ª Temporada,2023,Série,1080p,0,True,116,63
molly-contra-as-maquinas,Molly contra. AS MÁQUINAS,2026,Filme,1080p,1,True,121,68
o-cobrador-de-dividas,O Cobrador de Dívidas,2026,Filme,1080p,3,True,117,64
encanto-quebrado,Encanto Quebrado,2024,Filme,1080p,1,True,112,59
the-dink-a-ultima-chance,The Dink - A Última Chance,2026,Filme,1080p,1,True,122,69
amor-apocalipse,Amor Apocalipse,2025,Filme,1080p,3,True,111,58
ataque-ao-hotel,Ataque ao Hotel,2023,Filme,1080p,3,True,111,58
o-soldado-desaparecido,O Soldado Desaparecido,2024,Filme,1080p,3,True,118,65
motor-city,Motor City,2026,Filme,1080p,3,True,106,53
um-pouco-de-luz,Um Pouco de Luz,2022,Filme,1080p,1,True,111,58
conspiradores,Conspiradores,2026,Filme,1080p,1,True,109,56
agente-kim-reativado-1a-temporada,Agente Kim: Reativado 1ª Temporada,2026,Série,1080p,0,True,130,77
suzzanna-witchcraft,Suzzanna: Witchcraft,2026,Filme,1080p,3,True,116,63
infantaria,Infantaria,2022,Filme,1080p,1,True,106,53
72-horas-em-miami,72 Horas em Miami,2026,Filme,1080p,1,True,113,60
amor-em-camera-lenta,Amor em Câmera Lenta,2026,Filme,1080p,2,True,116,63
orgulho-1a-temporada,Orgulho 1ª Temporada,2026,Série,1080p,0,True,116,63
cash-for-gold,Cash for Gold,2024,Filme,1080p,1,True,109,56
as-freiras-exorcistas,As Freiras Exorcistas,2025,Filme,1080p,3,True,117,64
euphoria-um-olhar-para-tras,Euphoria: Um Olhar para Trás,2026,Filme,1080p,1,True,124,71
a-fera-do-pantano,A Fera do Pântano,2026,Filme,1080p,2,True,113,60
amor-toxico,Amor Tóxico,2026,Filme,1080p,1,True,107,54
tubarao-de-parque-aquatico,Tubarão de Parque Aquático,2026,Filme,1080p,2,True,122,69
o-chef,O Chef,2021,Filme,1080p,2,True,102,49
a-lenda-de-aang-o-ultimo-mestre-do-ar,A Lenda de Aang: O Último Mestre do Ar,2025,Filme,1080p,3,True,134,81
bambi-uma-aventura-na-floresta,Bambi: Uma Aventura na Floresta,2024,Filme,1080p,3,True,127,74
star-wars-o-mandaloriano-e-grogu,Star Wars: O Mandaloriano e Grogu,2026,Filme,1080p,3,True,129,76
dia-d,Dia D,2026,Filme,1080p,3,True,101,48
o-delator,O Delator,2025,Filme,1080p,3,True,105,52
mestres-do-universo,Mestres do Universo,2026,Filme,1080p,3,True,115,62
cia-1a-temporada,CIA 1ª Temporada,2026,Série,1080p,0,True,112,59
o-assistente-mortuario,O Assistente Mortuário,2026,Filme,1080p,2,True,118,65
um-dia-de-sorte-em-nova-york,Um Dia de Sorte em Nova York,2026,Filme,1080p,1,True,124,71
o-desafio-de-marguerite,O Desafio de Marguerite,2023,Filme,1080p,2,True,119,66
cenas-de-natureza-sexual,Cenas de Natureza Sexual,2006,Filme,1080p,3,True,120,67
capitao-hook-as-mares-malditas,Capitão Hook: As Marés Malditas,2025,Filme,1080p,3,True,127,74
fora-de-controle,Fora de Controle,2025,Filme,1080p,2,True,112,59
a-revolucao-dos-bichos,A Revolução dos Bichos,2026,Filme,1080p,3,True,118,65
vermiglio-a-noiva-da-montanha,Vermiglio: A Noiva da Montanha,2024,Filme,1080p,1,True,126,73
nosso-natal-em-familia,Nosso Natal em Família,2024,Filme,1080p,2,True,118,65
a-sacada,A Sacada,2016,Filme,1080p,4,True,104,51
vingadores-doutor-destino,Vingadores: Doutor Destino,2026,Filme,,1,False,105,69
elize-sombras-de-uma-mulher,Elize: Sombras de Uma Mulher,2026,Filme,1080p,1,True,124,71
entrevista-com-o-vampiro-3a-temporada,Entrevista com o Vampiro 3ª Temporada,2026,Série,1080p,0,True,133,80
a-morte-de-robin-hood,A Morte de Robin Hood,2026,Filme,1080p,3,True,117,64
eu-ja-fui-engracada,Eu Já Fui Engraçada,2024,Filme,1080p,2,True,115,62
xeque-mate-o-jogo-da-vida,Xeque-Mate: O Jogo da Vida,2024,Filme,1080p,1,True,122,69
maa-inti-bangaram,Maa Inti Bangaram,2026,Filme,1080p,3,True,113,60
apenas-coisas-boas,Apenas Coisas Boas,2025,Filme,1080p,2,True,114,61
todo-mundo-em-panico,Todo Mundo em Pânico,2026,Filme,1080p,1,True,116,63
mogul-mowgli,Mogul Mowgli,2020,Filme,1080p,2,True,108,55
terror-no-oceano,Terror no Oceano,2022,Filme,1080p,3,True,112,59
sabor-do-desejo,Sabor do Desejo,2021,Filme,1080p,2,True,111,58
the-bay,The Bay,2026,Filme,1080p,2,True,103,50
a-odisseia-a-criacao-de-um-epico,A Odisseia: A Criação de um Épico,2026,Filme,1080p,1,True,129,76
nada-entre-nos,Nada Entre Nós,2026,Filme,1080p,2,True,110,57
o-meu-o-seu-o-nosso-natal,"O Meu, O Seu, O Nosso Natal",2024,Filme,1080p,2,True,123,70
23-000-vidas,23.000 Vidas,2026,Filme,1080p,1,True,108,55
desejo,Desejo,2026,Filme,1080p,2,True,102,49
backrooms-um-nao-lugar,Backrooms: Um Não-Lugar,2026,Filme,1080p,4,True,119,66
o-ultimo-ronin,O Último Ronin,2024,Filme,1080p,3,True,110,57
a-vida-secreta-de-kika,A Vida Secreta de Kika,2025,Filme,1080p,2,True,118,65
chopin-uma-sonata-em-paris,"Chopin, Uma Sonata em Paris",2025,Filme,1080p,3,True,123,70
barba-ensopada-de-sangue,Barba Ensopada de Sangue,2026,Filme,1080p,1,True,120,67
paixao-fora-da-lei,Paixão Fora da Lei,2025,Filme,1080p,2,True,114,61
possuidos-2,Possuídos,1998,Filme,1080p,3,True,105,52
3000-milhas-para-o-inferno,3000 Milhas para o Inferno,2001,Filme,1080p,3,True,122,69
uma-sensacao-de-medo,Uma Sensação de Medo,2026,Filme,1080p,2,True,116,63
lucia-e-o-sexo,Lúcia e o Sexo,2021,Filme,1080p,2,True,110,57
heartstopper-para-sempre,Heartstopper Para Sempre,2026,Filme,1080p,2,True,120,67
borderline,Borderline,2026,Filme,1080p,2,True,106,53
pequenos-pecados,Pequenos Pecados,2025,Filme,1080p,2,True,112,59
arame-farpado,Arame Farpado,2025,Filme,1080p,1,True,109,56
descendentes-pais-das-maravilhas-malvado,Descendentes: País das Maravilhas Malvado,2026,Filme,1080p,2,True,137,84
formiguinhaz,FormiguinhaZ,1998,Filme,1080p,3,True,108,55
golden-kamuy-3-invasao-a-prisao-abashiri,Golden Kamuy 3: Invasão a Prisão Abashiri,2026,Filme,1080p,3,True,137,84
o-falcao-do-golfe-1a-temporada,O Falcão do Golfe 1ª Temporada,2026,Série,1080p,0,True,126,73
one-piece-colecao,One Piece: Coleção,2009,Filme,1080p,1,True,114,61
golpe-explosivo,Golpe Explosivo,,Filme,1080p,4,True,104,51
projeto-legiao,Projeto Legião,2022,Filme,1080p,3,True,110,57
queridos-cresci,"Queridos, Cresci!",2020,Filme,1080p,1,True,113,60
shogun-s-ninja,Shogun's Ninja,2025,Filme,1080p,2,True,110,57
ardente-vinganca,Ardente Vingança,2026,Filme,1080p,2,True,112,59
girls-like-girls,Girls Like Girls,2026,Filme,1080p,2,True,112,59
a-vida-que-eu-quero,A Vida Que Eu Quero,2023,Filme,1080p,1,True,115,62
enterrados,Enterrados,2019,Filme,1080p,1,True,106,53
resgatando-o-espirito-de-natal,Resgatando o Espírito de Natal,2023,Filme,1080p,2,True,126,73
golden-kamuy,Golden Kamuy,2024,Filme,1080p,3,True,108,55
pai-em-tempo-integral,Pai em Tempo Integral,2026,Filme,1080p,2,True,117,64
top-secret-superconfidencial,Top Secret! Superconfidencial,1984,Filme,1080p,1,True,125,72
shiboyugi-playing-death-games-to-put-food-on-the-table-44-cloudy-beach,Shiboyugi: Playing Death Games to Put Food on the Table 44: Cloudy Beach,2026,Filme,1080p,2,True,158,115
king-ivory-vicio-das-ruas,King Ivory: Vício das Ruas,2025,Filme,1080p,3,True,122,69
o-aniversario,O Aniversário,2025,Filme,1080p,2,True,109,56
parceiras-no-crime-1a-temporada,Parceiras no Crime 1ª Temporada,2026,Série,1080p,0,True,127,74
eu-antes-de-mim,Eu Antes de Mim,2026,Filme,1080p,1,True,111,58
invasores,Invasores,2025,Filme,1080p,3,True,105,52
o-senhor-das-moscas-1a-temporada,O Senhor das Moscas 1ª Temporada,2026,Série,1080p,0,True,128,75
sunset-strip-killers,Sunset Strip Killers,2026,Filme,1080p,3,True,116,63
cidade-das-estrelas-1a-temporada,Cidade das Estrelas 1ª Temporada,2026,Série,1080p,0,True,128,75
o-verdadeiro-sentido-do-natal,O Verdadeiro Sentido do Natal,2024,Filme,1080p,1,True,125,72
o-genio-do-crime,O Gênio do Crime,2026,Filme,1080p,2,True,112,59
invasores-2,Invasores,2007,Filme,1080p,4,True,105,52
19-outra-vez,19 Outra Vez,2024,Filme,1080p,1,True,108,55
a-passagem,A Passagem,2005,Filme,1080p,3,True,106,53
boulevard,Boulevard,2026,Filme,1080p,2,True,105,52
susana-e-elvira-sem-plano-b,Susana e Elvira: Sem Plano B,2026,Filme,1080p,3,True,124,71
naufragio-o-pesadelo-do-costa-concordia,Naufrágio: O Pesadelo do Costa Concordia,2026,Filme,1080p,1,True,136,83
por-agua-abaixo,Por Água Abaixo,2006,Filme,1080p,4,True,111,58
ip-man-kung-fu-legend,Ip Man: Kung Fu Legend,2026,Filme,1080p,2,True,118,65
boulevard-2,Boulevard,2026,Filme,1080p,1,True,105,52
gigantes-de-aco,Gigantes de Aço,2011,Filme,1080p,3,True,111,58
inic-acao,Inic!ação,2021,Filme,1080p,2,True,105,52
a-ameaca-exterior,A Ameaça Exterior,2026,Filme,1080p,2,True,113,60
moana-2-e-um-chamado-dos-ancestrais,Moana 2: É um Chamado dos Ancestrais,2024,Filme,1080p,4,True,132,79
moana-um-mar-de-aventuras,Moana: Um Mar de Aventuras,2016,Filme,1080p,4,True,122,69
cowboys-aliens,Cowboys & Aliens,2011,Filme,1080p,4,True,112,59
a-sociedade-dos-assassinos,A Sociedade dos Assassinos,2024,Filme,1080p,3,True,122,69
todos-os-tipos-de-amor,Todos os Tipos de Amor,2022,Filme,1080p,2,True,118,65
peddi,Peddi,2026,Filme,1080p,3,True,101,48
a-busca-pelo-ouro-de-tom-sawyer,A Busca pelo Ouro de Tom Sawyer,2023,Filme,1080p,2,True,127,74
a-geracao-do-mal,A Geração do Mal,2022,Filme,1080p,2,True,112,59
trunfo,Trunfo,2026,Filme,1080p,2,True,102,49
ms-x-1a-temporada,Ms. X 1ª Temporada,2026,Série,1080p,0,True,114,61
cinquenta-tons-mais-escuros,Cinquenta Tons Mais Escuros,2017,Filme,1080p,2,True,123,70
anjos-da-guerra,Anjos da Guerra,2026,Filme,1080p,3,True,111,58
minions-2-a-origem-de-gru,Minions 2: A Origem de Gru,2022,Filme,1080p,5,True,122,69
